iter	Passed	Remaining
928	1943	148
929	1946	146
930	1947	144
931	1949	142
932	1950	140
933	1952	138
934	1955	135
935	1956	133
936	1957	131
937	1959	129
938	1960	127
939	1962	125
940	1963	123
941	1965	121
942	1967	118
943	1968	116
944	1970	114
945	1973	112
946	1974	110
947	1976	108
948	1977	106
949	1979	104
950	1980	102
951	1982	99
952	1983	97
953	1985	95
954	1987	93
955	1989	91
956	1990	89
957	1992	87
958	1995	85
959	1997	83
960	1998	81
961	1999	78
962	2001	76
963	2003	74
964	2017	73
965	2019	71
966	2022	69
967	2024	66
968	2026	64
969	2028	62
970	2029	60
971	2030	58
972	2032	56
973	2033	54
974	2035	52
975	2040	50
976	2041	48
977	2043	45
978	2045	43
979	2046	41
980	2048	39
981	2051	37
982	2054	35
983	2055	33
984	2057	31
985	2058	29
986	2059	27
987	2061	25
988	2062	22
989	2065	20
990	2067	18
991	2068	16
992	2070	14
993	2071	12
994	2072	10
995	2074	8
996	2075	6
997	2077	4
998	2079	2
999	2081	0
